Job Family,Total Benefits,Total Compensation,perc_sal
Administrative & Mgmt (Unrep),58804.222241379335,248536.12431034484,4.226501343562623
Administrative Secretarial,28918.649873417715,101995.19810126584,3.5269695697315644
Administrative-DPW/PUC,41349.40406876792,156364.68157593108,3.781546193891501
Administrative-Labor & Trades,39922.41188679246,160870.45089622648,4.029577455199977
Agriculture & Horticulture,25407.737040592423,81391.64327207874,3.2034196174985667
Airport Operation,30895.424859531802,106146.68004013343,3.435676334691518
Appraisal & Taxation,28457.443365384654,94371.49368589751,3.3162323288918514
"Budget, Admn & Stats Analysis",27664.142248636843,94125.4327186479,3.40243452598954
"Clerical, Secretarial & Steno",21394.905197130283,66009.82104317442,3.085305610609968
Community Development,28426.194115988703,95466.3494643575,3.358393637742069
Computer Operatns & Repro Svcs,19948.000740157484,63598.61788976373,3.1882201488860398
Construction Inspection,32729.448992558664,118084.473205495,3.607896766986287
Construction Project Mgmt,38222.228820512784,148138.71075213692,3.8757214145668835
Correction & Detention,31615.406078648062,133490.81279575865,4.2223342779049
Dietary & Food,19300.787904642395,60295.2566875783,3.123979030569812
Emergency Services,26030.663506493496,89426.41850649354,3.4354260114877833
Energy & Environment,32109.412889518524,111574.68400849847,3.474827907704279
Fire Services,37971.03134466646,183171.8105789114,4.823988290342825
Health & Sanitation Inspection,35697.34880930232,126631.14573023253,3.5473543541483927
Hospital Administration,26546.707421135685,85470.50934542589,3.219627503687213
Housekeeping & Laundry,23787.827170574732,72612.2042942525,3.0524941926630844
Human Services,27247.24735076581,91186.14884572836,3.3466187491106503
Information Systems,33528.96357235317,121352.03229614293,3.61931951860885
Journeyman Trade,32316.621001965505,119507.75848344238,3.6980276643456595
"Lab, Pharmacy & Med Techs",30173.305161290256,107865.57531817393,3.574867742913234
Legal & Court,38844.13462101066,147086.0987859041,3.786571646426787
Library,21287.24926884871,67205.88142159258,3.1570956196740827
Management,41017.2909706811,144772.49593504815,3.529547966454699
Med Therapy & Auxiliary,25761.927705112965,85782.1004994055,3.329801305295191
Medical & Dental,34409.10374488654,144073.7227668279,4.187081530370822
Museum & Cultural Affairs,20985.569884105975,67814.38102648997,3.231476743352638
N,14255.25,54927.75,3.8531593623401905
Nursing,23636.206942191522,97748.06679148655,4.135522549390213
Park & Zoo,17359.449541088576,53001.04350053361,3.0531523119488284
"Payroll, Billing & Accounting",25538.40989185386,83469.91548033741,3.2684069146749155
Personnel,22710.956947154467,76101.76693902435,3.3508833254408246
Police Services,30780.263826600058,150087.60797911984,4.876098815287455
Port Operation,37853.06136363637,137631.01618181818,3.63592827696715
Probation & Parole,29552.1090377113,112136.27096879057,3.7945268415764857
Professional Engineering,34039.28466829724,122992.34164170043,3.6132469539305667
Property Administration,32365.519602649005,115703.74695364237,3.574907752884413
Protection & Apprehension,20818.58396324071,73317.72583923084,3.521744128644275
Pub Relations & Spec Assts,23652.059352465047,78525.87420161886,3.3200438503649705
Public Health,32977.2513031161,116185.29922804535,3.523195373686791
Public Safety Inspection,36216.16469823585,134517.90395543183,3.7143056167398205
Public Service Aide,5087.142129951564,14450.325272157346,2.8405585892869345
Purchasing & Storekeeping,26200.820535615672,86369.14561568179,3.296429037337867
Recreation,5170.124187316245,16715.982449600968,3.2331878005193624
Revenue,24709.681113610783,79120.02879640048,3.2019850208758447
SF Redevelopment Agency,23332.552783505147,76358.32556701032,3.272609142922052
SF Superior Court,29243.101466863744,96347.45906500603,3.294707272215305
Semi-Skilled & General Labor,22211.21098096957,71263.85183280484,3.208463144754389
Skilled Labor,28665.70847278911,100816.74061904754,3.5169806012207134
Street Transit,30056.26810386605,98922.76094897072,3.2912522807928566
Sub-Professional Engineering,12261.080848431284,42442.90199734877,3.461595476126318
Supervisory-Labor & Trade,36074.642645082466,137935.13559560175,3.823603658466301
Y,37228.34,171787.59,4.614430565531528
