,Awards,col_final1,col_final2,col_final3
3,1 win & 2 nominations., 2 nominations.,1 win ,0
4,1 win.,0,1 win,
5,1 nomination.,0,1 nomination,
6,3 wins & 2 nominations., 2 nominations.,3 wins ,0
7,1 win & 1 nomination., 1 nomination.,1 win ,0
11,5 nominations.,0,5 nominations,
13,2 wins & 5 nominations., 5 nominations.,2 wins ,0
15,Nominated for 1 Oscar. Another 13 wins & 13 nominations., 13 nominations.,Nominated for 1 Oscar, Another 13 wins 
18,5 wins & 4 nominations., 4 nominations.,5 wins ,0
24,Nominated for 1 Golden Globe. Another 14 wins & 34 nominations., 34 nominations.,Nominated for 1 Golden Globe, Another 14 wins 
25,3 wins & 2 nominations., 2 nominations.,3 wins ,0
28,1 nomination.,0,1 nomination,
31,5 nominations.,0,5 nominations,
34,1 win & 2 nominations., 2 nominations.,1 win ,0
37,22 wins & 44 nominations., 44 nominations.,22 wins ,0
38,1 win & 3 nominations., 3 nominations.,1 win ,0
39,1 win & 8 nominations., 8 nominations.,1 win ,0
43,2 nominations.,0,2 nominations,
47,6 wins & 1 nomination., 1 nomination.,6 wins ,0
50,Won 2 Golden Globes. Another 68 wins & 201 nominations., 201 nominations.,Won 2 Golden Globes, Another 68 wins 
51,Won 1 Golden Globe. Another 31 wins & 143 nominations., 143 nominations.,Won 1 Golden Globe, Another 31 wins 
53,Nominated for 4 Primetime Emmys. Another 16 nominations.,0,Nominated for 4 Primetime Emmys, Another 16 nominations
54,3 wins & 2 nominations., 2 nominations.,3 wins ,0
56,3 wins & 6 nominations., 6 nominations.,3 wins ,0
62,2 wins.,0,2 wins,
69,6 wins & 4 nominations., 4 nominations.,6 wins ,0
72,7 wins & 6 nominations., 6 nominations.,7 wins ,0
76,9 wins & 30 nominations., 30 nominations.,9 wins ,0
79,Won 1 Primetime Emmy. Another 1 win & 6 nominations., 6 nominations.,Won 1 Primetime Emmy, Another 1 win 
84,1 nomination.,0,1 nomination,
87,Nominated for 3 BAFTA Film Awards. Another 11 wins & 39 nominations., 39 nominations.,Nominated for 3 BAFTA Film Awards, Another 11 wins 
88,6 nominations.,0,6 nominations,
90,1 win & 4 nominations., 4 nominations.,1 win ,0
