"TotalReviewers","NameOfReviewer","FrequentVisitorIn"
"654","David","Dorchester"
"595","Michael","Mission Hill"
"483","John","South End"
"436","Chris","North End"
"431","Sarah","East Boston"
"361","Daniel","Dorchester"
"315","James","Allston-Brighton"
"309","Andrew","nan"
"295","Mark","North End"
"294","Jennifer","Roxbury"
"294","Jessica","Jamaica Plain"
"292","Laura","East Boston"
"281","Paul","South End"
"257","Emily","East Boston"
"252","Matthew","Jamaica Plain"
"248","Kevin","Mission Hill"
"247","Lisa","Jamaica Plain"
"244","Peter","Fenway/Kenmore"
"236","Alex","East Boston"
"230","Robert","Roslindale"
"228","Ryan","nan"
"228","Michelle","East Boston"
"228","Eric","North End"
"228","Brian","Downtown Crossing"
"223","Richard","Allston-Brighton"
"220","Mike","North End"
"217","Amy","Mission Hill"
"211","Lauren","Fenway/Kenmore"
"210","Stephanie","Charlestown"
"209","Jason","Jamaica Plain"
"208","Elizabeth","North End"
"208","Patrick","South End"
"203","Thomas","Charlestown"
"199","Jonathan","Allston-Brighton"
"199","Susan","Beacon Hill"
"197","Julie","Fenway/Kenmore"
"197","Matt","nan"
"195","Katie","East Boston"
"193","Mary","Jamaica Plain"
"186","Rachel","Jamaica Plain"
"185","Tom","South End"
"185","Amanda","North End"
"184","Nicole","Charlestown"
"182","Scott","Jamaica Plain"
"182","Anna","North End"
"182","Andrea","Jamaica Plain"
"178","Karen","Roslindale"
"171","Kate","Mission Hill"
"170","Nick","Fenway/Kenmore"
"169","Jeff","North End"
"166","Tim","Back Bay"
"166","Dan","East Boston"
"161","Adam","Beacon Hill"
"161","Ben","Jamaica Plain"
"159","Christopher","South End"
"158","Sara","Dorchester"
"157","Christine","Jamaica Plain"
"155","Rebecca","Charlestown"
"154","Steve","East Boston"
"153","Stephen","Jamaica Plain"
"150","Kelly","East Boston"
"150","Julia","Jamaica Plain"
"149","Ashley","North End"
"149","Maria","Dorchester"
"148","Melissa","East Boston"
"148","Linda","North End"
"146","Nancy","Roslindale"
"145","Christina","East Boston"
"143","William","North End"
"141","Justin","East Boston"
"136","Joe","Dorchester"
"133","Sean","East Boston"
"133","Barbara","North End"
"133","Joseph","Roslindale"
"133","Heather","Charlestown"
"132","Anne","Charlestown"
"130","Megan","Jamaica Plain"
"130","Steven","Fenway/Kenmore"
"127","Erin","Fenway/Kenmore"
"125","Martin","South End"
"125","Jim","nan"
"124","Kim","East Boston"
"122","Jenny","Allston-Brighton"
"121","Marie","Dorchester"
"118","Aaron","Beacon Hill"
"117","Greg","East Boston"
"116","Caroline","South Boston"
"115","Alexander","Jamaica Plain"
"111","Joshua","nan"
"111","Christian","Jamaica Plain"
"110","Sam","nan"
"109","Catherine","Jamaica Plain"
"107","Jon","Jamaica Plain"
"107","Jeremy","Jamaica Plain"
"106","Claire","North End"
"106","Benjamin","Jamaica Plain"
"105","Anthony","Fenway/Kenmore"
"105","Charles","South Boston"
"101","Angela","Dorchester"
"101","Rob","Allston-Brighton"
"100","Frank","North End"
"100","Natalie","North End"
"99","Patricia","Jamaica Plain"
"99","Hannah","East Boston"
"99","Alexandra","Back Bay"
"97","Ian","North End"
"96","Samantha","Jamaica Plain"
"96","Kathy","East Boston"
"95","Simon","North End"
"95","Danielle","Downtown Crossing"
"94","Carol","Dorchester"
"94","Katherine","North End"
"92","Kyle","Dorchester"
"92","Wendy","Jamaica Plain"
"91","Andy","nan"
"91","Vanessa","Charlestown"
"90","Josh","Back Bay"
"90","Bill","Dorchester"
"90","Emma","East Boston"
"90","Sandra","Jamaica Plain"
"89","Jane","Jamaica Plain"
"89","Shannon","North End"
"87","Nathan","North End"
"86","Bob","Dorchester"
"86","Sophie","Jamaica Plain"
"85","Jack","South End"
"85","Marc","North End"
"84","Jan","South Boston"
"81","Diana","Jamaica Plain"
"80","Nicholas","Jamaica Plain"
"80","Jamie","Fenway/Kenmore"
"79","Beth","Allston-Brighton"
"79","Ellen","Allston-Brighton"
"78","Philip","South End"
"78","Sharon","Jamaica Plain"
"78","Kathleen","West Roxbury"
"78","Helen","East Boston"
"77","Kristen","Jamaica Plain"
"77","Diane","Charlestown"
"77","Liz","Beacon Hill"
"76","Lindsay","Charlestown"
"75","Allison","Fenway/Kenmore"
"75","Jill","North End"
"74","Leslie","South End"
"73","Carlos","Jamaica Plain"
"73","Dave","South End"
"72","Jordan","North End"
"72","Alison","North End"
"72","Jeffrey","East Boston"
"71","Monica","nan"
"71","Ann","Charlestown"
"71","Tony","nan"
"70","Annie","Jamaica Plain"
"70","Suzanne","nan"
"69","Janet","South End"
"69","Claudia","Theater District"
"69","Courtney","nan"
"68","Charlotte","East Boston"
"68","Jacob","South End"
"68","Victor","Roxbury"
"68","Melanie","South End"
"67","Jay","South Boston"
"67","Victoria","Dorchester"
"67","Brad","Hyde Park"
"67","Cindy","North End"
"67","Deborah","North End"
"66","Vincent","Roslindale"
"66","Alice","Jamaica Plain"
"66","Bryan","North End"
"66","Grace","South Boston"
"66","Donna","Hyde Park"
"66","Tyler","nan"
"65","Craig","North End"
"65","Jen","Jamaica Plain"
"65","George","Charlestown"
"64","Gary","Jamaica Plain"
"64","Ken","North End"
"64","Pamela","North End"
"64","Michele","Jamaica Plain"
"63","Jenna","North End"
"63","Edward","nan"
"63","Cynthia","Jamaica Plain"
"63","Brandon","North End"
"63","Alan","North End"
"63","Joel","Dorchester"
"63","Molly","Jamaica Plain"
"62","Cathy","Jamaica Plain"
"62","Leah","Allston-Brighton"
"61","Amber","Dorchester"
"60","Kristin","North End"
"60","Rick","South Boston"
"60","Nina","Jamaica Plain"
"60","Fiona","East Boston"
"60","Juan","Allston-Brighton"
"60","Nicolas","Dorchester"
"60","Dana","Back Bay"
"59","Teresa","Roslindale"
"59","Jean","Jamaica Plain"
"58","Kimberly","Jamaica Plain"
"58","Jackie","Allston-Brighton"
"58","Henry","Back Bay"
"58","Brenda","Beacon Hill"
"58","Valerie","Charlestown"
"57","Lee","East Boston"
"57","Robin","Dorchester"
"57","Taylor","South End"
"56","Caitlin","North End"
"56","Ed","North End"
"56","Paula","South End"
"56","Lindsey","Downtown Crossing"
"55","Cheryl","Allston-Brighton"
"55","Brittany","Jamaica Plain"
"55","Jose","South End"
"55","Will","Fenway/Kenmore"
"55","Todd","Jamaica Plain"
"55","Lynn","Back Bay"
"54","Jorge","Beacon Hill"
"54","Carolyn","Back Bay"
"54","Marco","Jamaica Plain"
"54","Laurie","nan"
"54","Tiffany","Mission Hill"
"54","Dennis","Jamaica Plain"
"53","Timothy","East Boston"
"53","Keith","Roslindale"
"53","Maggie","South End"
"53","Lucy","nan"
"53","Luke","Chinatown"
"52","Tracy","nan"
"52","Kathryn","Back Bay"
"52","Sue","Roslindale"
"52","Denise","East Boston"
"52","Luis","nan"
"51","Ana","North End"
"51","Elena","East Boston"
"51","Phil","North End"
"51","Gregory","Jamaica Plain"
"51","Stefan","Roxbury"
"50","Ruth","Jamaica Plain"
"50","Erik","Dorchester"
"50","Evan","Jamaica Plain"
"50","Sally","Back Bay"
"50","Gina","North End"
"50","Harry","Dorchester"
"50","Sebastian","Beacon Hill"
"49","Judith","Charlestown"
"49","Judy","East Boston"
"49","Max","Roxbury"
"49","Isabelle","East Boston"
"49","Martha","Roslindale"
"48","Audrey","Jamaica Plain"
"48","Ron","nan"
"48","Tina","Jamaica Plain"
"48","Louise","Charlestown"
"48","Bruce","Allston-Brighton"
"48","Pam","Allston-Brighton"
"48","Margaret","North End"
"48","Casey","South End"
"47","Kristina","West Roxbury"
"47","Erica","Beacon Hill"
"46","Drew","North End"
"46","Andreas","Fenway/Kenmore"
"46","Meghan","North End"
"45","Jacqueline","Dorchester"
"45","Cristina","Allston-Brighton"
"45","Douglas","South End"
"45","Tara","North End"
"45","Julian","Mission Hill"
"45","Adrian","Chinatown"
"44","Heidi","Dorchester"
"44","Jesse","Dorchester"
"44","Shawn","South End"
"43","Jake","nan"
"43","Joanne","East Boston"
"43","Stuart","Jamaica Plain"
"43","Florian","East Boston"
"43","Debbie","Jamaica Plain"
"43","Charlie","Roxbury"
"43","Oliver","South End"
"43","Chelsea","Back Bay"
"43","Olivia","East Boston"
"42","Brendan","Fenway/Kenmore"
"42","Carmen","Jamaica Plain"
"42","Sandy","nan"
"41","Holly","nan"
"41","Daniela","South End"
"41","Samuel","nan"
"41","Alexis","East Boston"
"41","Roberto","East Boston"
"41","Joanna","Jamaica Plain"
"40","Irene","East Boston"
"40","Camille","nan"
"40","Albert","Back Bay"
"40","Morgan","Roxbury"
"40","Lucas","Fenway/Kenmore"
"40","Pierre","South Boston"
"40","Becky","Charlestown"
"40","Pauline","Jamaica Plain"
"39","Dawn","Mission Hill"
"39","Lori","Jamaica Plain"
"39","Guillaume","Dorchester"
"39","Joyce","Jamaica Plain"
"39","Antonio","South End"
"38","Diego","Allston-Brighton"
"38","Mario","Jamaica Plain"
"38","Marina","Dorchester"
"38","Ted","Dorchester"
"38","Randy","South Boston"
"38","Eva","Charlestown"
"37","Theresa","East Boston"
"37","Seth","Jamaica Plain"
"37","Brett","North End"
"37","Joan","Jamaica Plain"
"37","Pat","Fenway/Kenmore"
"37","Roger","Beacon Hill"
"37","Maureen","Jamaica Plain"
"37","Veronica","South End"
"37","Kenneth","Charlestown"
"37","Gabriel","North End"
"37","Sabrina","East Boston"
"37","Alejandro","South Boston"
"37","Jerry","South End"
"37","Julien","Jamaica Plain"
"36","Austin","East Boston"
"36","Colin","South Boston"
"36","Jess","Back Bay"
"36","Philippe","nan"
"36","Hilary","Fenway/Kenmore"
"36","Alicia","Jamaica Plain"
"36","Dylan","Roxbury"
"35","Alyssa","Jamaica Plain"
"35","Esther","Allston-Brighton"
"35","Doug","North End"
"35","Erika","Roslindale"
"35","Marcus","Back Bay"
"35","Neil","Dorchester"
"34","Cameron","nan"
"34","Anita","West Roxbury"
"34","Jo","South End"
"34","Brooke","Dorchester"
"34","Rose","Fenway/Kenmore"
"34","Larry","Jamaica Plain"
"34","Pablo","Roxbury"
"34","Terry","Charlestown"
"34","Colleen","Fenway/Kenmore"
"34","Don","South Boston"
"34","Simone","Dorchester"
"34","Crystal","Dorchester"
"34","Derek","South Boston"
"33","Rich","South Boston"
"33","Danny","South Boston"
"33","Kirsten","Jamaica Plain"
"33","Jimmy","South End"
"33","Shane","Beacon Hill"
"33","Meredith","Theater District"
"33","Travis","East Boston"
"33","Ali","Beacon Hill"
"33","Yvonne","South Boston"
"33","Carla","Fenway/Kenmore"
"33","Rachael","East Boston"
"33","Andre","Allston-Brighton"
"32","Felix","Fenway/Kenmore"
"32","Barry","Jamaica Plain"
"32","Clare","Jamaica Plain"
"32","Ray","South End"
"32","Stefanie","Jamaica Plain"
