"ListingId","Neighbourhood","SummaryByHost","CommentByVisitor","Similarity","Degree"
"6976","Roslindale","['Come', 'stay', 'friendly', 'middle', 'aged', 'guy', 'safe', 'quiet', 'Roslindale', 'neighborhood', 'Boston', 'clean', 'furnished', 'room', 'cable', 'TV', 'Wi', 'Fi', 'desk', 'work', 'apartment', 'filled', 'Mexican', 'folk', 'art']","['Wonderful', 'pleasant', 'charming', 'host', 'bed', 'comfortable', 'room', 'nice', 'Travel', 'wise', 'one', 'minutes', 'Needham', 'Train', 'Orange', 'Subway', 'Line', 'Back', 'Bay', 'Station', 'Center', 'Boston', 'highly', 'recommend', 'one', 'staying', 'Phil']","['Boston', 'room']","2"
"27611","Jamaica Plain","['comfortable', 'sophisticated', 'apartment', 'perfect', 'one', 'two', 'people', 'want', 'quiet', 'spacious', 'clean', 'spot', 'French', 'feel', 'days', 'month', 'Park', 'street', 'take', 'public', 'transportation', 'visit', 'city', 'region', 'Lovely', 'gardens']","['good', 'experience', 'host', 'apartment', 'apartment', 'expected', 'clean', 'neighborhood', 'pleasant', 'quiet', 'shops', 'restaurants', 'grocery', 'within', 'walking', 'distance', 'bed', 'could', 'accessed', 'one', 'side', 'bit', 'tricky', 'two', 'host', 'understood', 'plans', 'fix', 'situation', 'rating']","['situation', 'apartment', 'clean', 'quiet', 'bit', 'one', 'two', 'neighborhood', 'experience']","9"
"40601","Jamaica Plain","['Private', 'bedroom', 'bathroom', 'house', 'Jamaica', 'Plain', 'neighborhood', 'Boston', 'Convenient', 'public', 'transportation', 'downtown', 'Boston', 'medical', 'centers', 'Room', 'queen', 'bed', 'House', 'accomodate', 'others', 'queen', 'air', 'mattress', 'study']","['loved', 'staying', 'Robert', 'house', 'excellent', 'host', 'took', 'us', 'guided', 'tour', 'Jamiaca', 'Plain', 'arrived', 'made', 'us', 'feel', 'home', 'house', 'like', 'looks', 'online', 'nice', 'lots', 'stairs', 'big', 'deal', 'really', 'nice', 'bathroom', 'dog', 'also', 'friendly', 'traveling', 'around', 'Boston', 'train', 'local', 'stop', 'easy', 'walk', 'plus', 'trains', 'run', 'regularly', 'local', 'shops', 'stock', 'mostly', 'organic', 'food', 'bit', 'pricey', 'welcoming', 'neighbourhood', 'Would', 'recommend', 'anyone', 'go', 'stay', 'Thanks', 'Robert', 'great', 'stay']","['bathroom', 'Boston', 'house', 'home', 'neighbourhood']","5"
"24240","North End","['Celebrating', 'Years', 'Business', 'Boston', 'Original', 'Bed', 'Breakfast', 'Afloat', 'Boston', 'Bed', 'Breakfast', 'Afloat', 'Charter', 'looking', 'unique', 'getaway', 'Golden', 'Slipper', 'awaits', 'Welcome', 'aboard']","['Really', 'enjoyed', 'nights', 'Golden', 'Slipper', 'Although', 'new', 'boat', 'mod', 'cons', 'lots', 'little', 'touches', 'make', 'life', 'board', 'comfortable', 'boat', 'owners', 'thought', 'excellent', 'never', 'seen', 'huge', 'master', 'bed', 'Location', 'good', 'North', 'End', 'Boston', 'handy', 'everything', 'Supermarket', 'minutes', 'away', 'Rough', 'Guide', 'terms', 'mother', 'food', 'courts', 'min', 'walk', 'away', 'beside', 'Faneuil', 'Hall', 'using', 'Logan', 'Airport', 'water', 'taxi', 'takes', 'right', 'although', 'allow', 'late', 'missing', 'connecting', 'shuttle', 'bus', 'airport', 'end', 'led', 'anxious', 'moments', 'Gretchen', 'good', 'communicator', 'stay', 'helpful', 'Thoroughly', 'recommended']","['master', 'Boston', 'bed']","3"
"60029","Roxbury","['Small', 'sunny', 'private', 'room', 'Boston', 'best', 'undiscovered', 'quiet', 'safe', 'residential', 'neighborhood', 'miles', 'city', 'center', 'miles', 'Longwood', 'hospitals', 'Fenway', 'colleges']","['Staying', 'house', 'Michelle', 'really', 'great', 'wonderful', 'host', 'careful', 'guest', 'needs', 'whenever', 'needed', 'something', 'asked', 'Michelle', 'helped', 'thanks', 'Michelle', 'warm', 'comfortable', 'place', 'comfortable', 'bed', 'convenient', 'close', 'places', 'wanted', 'go', 'staying', 'Boston', 'Michelle', 'provide', 'lot', 'advices', 'go', 'cafe', 'bars', 'restaurants', 'arts', 'entertainments', 'etc', 'see', 'Boston', 'Plus', 'enjoyed', 'healthy', 'organic', 'natural', 'breakfasts', 'yummy', 'place', 'sure', 'recommend', 'friends', 'planning', 'trip', 'Boston']","['Boston']","1"
"9824","Back Bay","['Amazing', 'little', 'brownstone', 'building', 'one', 'half', 'block', 'Newbury', 'Street']","['location', 'Back', 'Bay', 'Studio', 'Hereford', 'excellent', 'close', 'restaurants', 'Prudential', 'Center', 'stayed', 'Studio', 'labelled', 'pictures', 'Great', 'furnishings', 'amenities', 'wifi', 'worked', 'great', 'downside', 'steep', 'narrow', 'stairs', 'get', 'floor', 'mattress', 'hard', 'acceptable', 'would', 'definitely', 'rent', 'place']","['get']","1"
"9860","Back Bay","['Enjoy', 'architecturally', 'unique', 'suites', 'Back', 'Bay', 'brownstone', 'year', 'old', 'brownstone', 'located', 'one', 'Boston', 'prestigious', 'historical', 'neighborhoods']","['problem', 'getting', 'plave', 'last', 'minute', 'seamless', 'great', 'staying', 'contact', 'making', 'feel', 'comfortable', 'would', 'give', 'never', 'actually', 'got', 'boston', 'weekend', 'hurricane', 'amtrak', 'snafu', 'sure', 'would', 'great']","[]","0"
"28150","Back Bay","['Enjoy', 'architecturally', 'unique', 'suites', 'Back', 'Bay', 'brownstone', 'year', 'old', 'brownstone', 'located', 'one', 'Boston', 'prestigious', 'historical', 'neighborhoods']","['wonderful', 'experience', 'Beacon', 'Back', 'Bay', 'neighborhood', 'great', 'safe', 'nice', 'brownstones', 'plenty', 'shopping', 'grocery', 'stores', 'resources', 'nearby', 'able', 'walk', 'many', 'tour', 'spots', 'Accessing', 'location', 'also', 'convenient', 'answered', 'questions', 'visit', 'apartment', 'needed', 'four', 'person', 'stay', 'bedroom', 'pull', 'couch', 'living', 'room', 'fully', 'equipped', 'kitchen', 'bathroom', 'nice', 'place', 'relax', 'end', 'day', 'Safe', 'easy', 'convenient']","['place', 'neighborhood']","2"
"48612","Back Bay","['penthouse', 'level', 'apartment', 'classic', 'Boston', 'brownstone', 'building', 'emerse', 'life', 'Back', 'Bay', 'South', 'End', 'neighborhoods', 'providing', 'uniquely', 'quiet', 'charming', 'street', 'escape', 'end', 'day']","['Great', 'location', 'clean', 'accommodating', 'hosts', 'family', 'enjoyed', 'stay']","[]","0"
"10811","Back Bay","['Back', 'Bay', 'Studio', 'Apt', 'Marlborough', 'St', 'nightly', 'higher', 'rates', 'apply', 'major', 'events', 'Peak', 'Season', 'APT', 'LOCATED', 'SECOND', 'FLOOR', 'Boston', 'Studio', 'Apartment', 'Stay', 'right', 'BACK', 'BAY', 'Marlborough', 'Street', 'APARTMENT']","['Loved', 'place', 'absolutely', 'gorgeous', 'spacious', 'studio', 'Amazing', 'neighborhood', 'everything', 'walking', 'distance', 'Michelle', 'nice', 'responsive', 'inquiries', 'easy', 'transition', 'arrival']","['place', 'studio']","2"
