Word,Rank,Frequency
the,1,3329
to,2,2808
and,3,2801
of,4,2570
a,5,1595
in,6,1389
was,7,1337
her,8,1204
had,9,1186
she,10,1146
i,11,1124
it,12,1038
he,13,961
be,14,950
not,15,934
that,16,882
as,17,809
for,18,707
but,19,664
his,20,659
with,21,654
you,22,628
have,23,589
at,24,533
all,25,530
anne,26,497
been,27,496
s,28,485
him,29,467
could,30,451
very,31,434
they,32,433
were,33,426
by,34,418
which,35,416
is,36,398
on,37,396
so,38,359
no,39,356
would,40,355
captain,41,303
from,42,295
their,43,293
mrs,44,291
elliot,45,289
there,46,286
or,47,274
more,48,273
them,49,270
mr,50,256
this,51,250
an,52,245
than,53,243
one,54,238
when,55,228
must,56,228
my,57,223
being,58,220
only,59,219
wentworth,60,218
lady,61,216
such,62,211
do,63,210
much,64,205
if,65,202
any,66,199
what,67,197
who,68,190
me,69,188
should,70,188
good,71,187
little,72,176
said,73,173
will,74,167
charles,75,166
might,76,166
well,77,163
own,78,163
did,79,162
herself,80,159
now,81,158
never,82,155
we,83,155
time,84,152
think,85,149
sir,86,149
russell,87,148
are,88,146
other,89,143
walter,90,141
nothing,91,139
mary,92,138
am,93,137
some,94,136
man,95,134
again,96,132
musgrove,97,130
great,98,130
too,99,128
know,100,127
how,101,125
miss,102,125
your,103,124
most,104,123
see,105,123
soon,106,122
father,107,117
though,108,117
before,109,116
two,110,114
first,111,113
quite,112,112
louisa,113,111
always,114,110
without,115,108
can,116,107
every,117,102
bath,118,101
has,119,100
into,120,98
about,121,97
after,122,96
made,123,96
long,124,95
out,125,95
himself,126,95
house,127,94
seemed,128,93
say,129,93
having,130,92
up,131,91
thought,132,90
however,133,89
elizabeth,134,89
last,135,88
go,136,88
make,137,88
may,138,87
place,139,87
better,140,87
many,141,85
young,142,84
over,143,84
same,144,84
home,145,83
found,146,83
friend,147,83
sister,148,82
room,149,82
like,150,81
family,151,80
felt,152,80
give,153,79
ever,154,78
way,155,78
away,156,78
day,157,77
uppercross,158,77
harville,159,75
feelings,160,75
come,161,75
still,162,74
